,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Sfty,Fmb,FR,Yds,FRTD
0,1.0,57.0,1.0,1.0,1971-09-20,MIN,@,DET,"W, 16-13",*,0.0,0,0,0,0,0
1,2.0,58.0,2.0,2.0,1971-09-26,MIN,,CHI,"L, 17-20",*,0.0,0,0,0,0,0
2,3.0,59.0,3.0,3.0,1971-10-03,MIN,,BUF,"W, 19-0",*,0.0,1,0,0,0,0
3,4.0,60.0,4.0,4.0,1971-10-10,MIN,@,PHI,"W, 13-0",*,0.0,0,0,0,0,0
4,5.0,61.0,5.0,5.0,1971-10-17,MIN,@,GNB,"W, 24-13",*,0.0,0,0,0,0,0
5,6.0,62.0,6.0,6.0,1971-10-25,MIN,,BAL,"W, 10-3",*,0.0,0,0,0,0,0
6,7.0,63.0,7.0,7.0,1971-10-31,MIN,@,NYG,"W, 17-10",*,0.0,0,0,0,0,0
7,8.0,64.0,8.0,8.0,1971-11-07,MIN,,SFO,"L, 9-13",*,0.0,0,0,0,0,0
8,9.0,65.0,9.0,9.0,1971-11-14,MIN,,GNB,"W, 3-0",*,0.0,0,0,0,0,0
9,10.0,66.0,10.0,10.0,1971-11-21,MIN,@,NOR,"W, 23-10",*,0.0,0,0,0,0,0
10,11.0,67.0,11.0,11.0,1971-11-28,MIN,,ATL,"W, 24-7",*,0.0,0,0,0,0,0
11,12.0,68.0,12.0,12.0,1971-12-05,MIN,@,SDG,"L, 14-30",*,0.0,0,0,0,0,0
12,13.0,69.0,13.0,13.0,1971-12-11,MIN,,DET,"W, 29-10",*,0.0,1,0,0,0,0
13,14.0,70.0,14.0,14.0,1971-12-19,MIN,@,CHI,"W, 27-10",*,0.0,0,0,0,0,0
14,,,,,,,,,11-3,,0.0,2,0,0,0,0
