,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty
0,1.0,57.0,1.0,1.0,1989-09-10,BUF,@,MIA,"W, 27-24",*,0.0,0,0,0
1,2.0,58.0,2.0,2.0,1989-09-18,BUF,,DEN,"L, 14-28",*,0.5,0,0,0
2,3.0,59.0,3.0,3.0,1989-09-24,BUF,@,HOU,"W, 47-41 (OT)",*,1.0,0,0,0
3,4.0,60.0,4.0,4.0,1989-10-01,BUF,,NWE,"W, 31-10",*,1.0,0,0,0
4,5.0,61.0,5.0,5.0,1989-10-08,BUF,@,IND,"L, 14-37",*,0.0,0,0,0
5,6.0,62.0,6.0,6.0,1989-10-16,BUF,,RAM,"W, 23-20",*,2.0,0,0,0
6,7.0,63.0,7.0,7.0,1989-10-22,BUF,,NYJ,"W, 34-3",*,3.0,0,0,0
7,8.0,64.0,8.0,8.0,1989-10-29,BUF,,MIA,"W, 31-17",*,0.0,0,0,0
8,9.0,65.0,9.0,9.0,1989-11-05,BUF,@,ATL,"L, 28-30",*,0.0,0,0,0
9,10.0,66.0,10.0,10.0,1989-11-12,BUF,,IND,"W, 30-7",*,1.0,0,0,0
10,11.0,67.0,11.0,11.0,1989-11-19,BUF,@,NWE,"L, 24-33",*,0.0,0,0,0
11,12.0,68.0,12.0,12.0,1989-11-26,BUF,,CIN,"W, 24-7",*,0.0,0,0,0
12,13.0,69.0,13.0,13.0,1989-12-04,BUF,@,SEA,"L, 16-17",*,0.0,0,0,0
13,14.0,70.0,14.0,14.0,1989-12-10,BUF,,NOR,"L, 19-22",*,2.0,0,0,0
14,15.0,71.0,15.0,15.0,1989-12-17,BUF,@,SFO,"L, 10-21",*,0.5,0,0,0
15,16.0,72.0,16.0,16.0,1989-12-23,BUF,@,NYJ,"W, 37-0",*,2.0,0,0,0
16,,,,,,,,,9-7,,13.0,0,0,0
