,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2018-09-09,DAL,@,CAR,"L, 8-16",*,19,29,65.5,170,0,0,5.9,5.86,81.1,6,32,5,19,0,3.8,0,0,0,0,,,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
1,2.0,34.0,2.0,2.0,2018-09-16,DAL,,NYG,"W, 20-13",*,16,25,64.0,160,1,0,6.4,7.2,95.4,0,0,7,45,0,6.4,0,0,0,0,,,0,0,0,1,0,0,53,100.0,0,0.0,0,0.0
2,3.0,35.0,3.0,3.0,2018-09-23,DAL,@,SEA,"L, 13-24",*,19,34,55.9,168,1,2,4.9,2.88,54.5,5,31,2,21,0,10.5,0,0,0,0,,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
3,4.0,36.0,4.0,4.0,2018-09-30,DAL,,DET,"W, 26-24",*,17,27,63.0,255,2,0,9.4,10.93,118.6,3,24,3,2,0,0.7,0,0,0,0,,,1,0,0,1,0,0,69,100.0,0,0.0,0,0.0
4,5.0,37.0,5.0,5.0,2018-10-07,DAL,@,HOU,"L, 16-19 (OT)",*,18,29,62.1,208,1,2,7.2,4.76,66.5,2,14,6,34,0,5.7,0,0,0,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
5,6.0,38.0,6.0,6.0,2018-10-14,DAL,,JAX,"W, 40-7",*,17,27,63.0,183,2,0,6.8,8.26,107.5,3,11,11,82,1,7.5,0,0,0,0,,,2,0,0,2,0,0,67,91.8,0,0.0,0,0.0
6,7.0,39.0,7.0,7.0,2018-10-21,DAL,@,WAS,"L, 17-20",*,22,35,62.9,273,1,0,7.8,8.37,96.5,4,23,6,33,1,5.5,0,0,0,0,,,2,2,0,0,0,0,66,100.0,0,0.0,0,0.0
7,8.0,40.0,8.0,9.0,2018-11-05,DAL,,TEN,"L, 14-28",*,21,31,67.7,243,2,1,7.8,7.68,99.3,5,18,2,11,0,5.5,1,0,0,0,0.0,0.0,1,1,0,0,0,0,59,100.0,0,0.0,0,0.0
8,9.0,41.0,9.0,10.0,2018-11-11,DAL,@,PHI,"W, 27-20",*,26,36,72.2,270,1,0,7.5,8.06,102.8,4,31,6,9,1,1.5,0,0,0,0,,,1,0,0,1,0,0,69,100.0,0,0.0,0,0.0
9,10.0,42.0,10.0,11.0,2018-11-18,DAL,@,ATL,"W, 22-19",*,22,32,68.8,208,0,0,6.5,6.5,86.5,2,17,4,5,1,1.3,0,0,0,0,,,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
10,11.0,43.0,11.0,12.0,2018-11-22,DAL,,WAS,"W, 31-23",*,22,31,71.0,289,2,0,9.3,10.61,121.6,4,31,6,18,1,3.0,0,0,0,0,,,1,0,0,0,0,0,70,100.0,0,0.0,0,0.0
11,12.0,44.0,12.0,13.0,2018-11-29,DAL,,NOR,"W, 13-10",*,24,28,85.7,249,1,0,8.9,9.61,115.6,7,40,5,22,0,4.4,0,0,0,0,,,2,1,0,1,0,0,71,100.0,0,0.0,0,0.0
12,13.0,45.0,13.0,14.0,2018-12-09,DAL,,PHI,"W, 29-23 (OT)",*,42,54,77.8,455,3,2,8.4,7.87,104.9,3,21,4,2,0,0.5,0,0,0,0,,,1,1,0,1,0,0,99,100.0,0,0.0,0,0.0
13,14.0,46.0,14.0,15.0,2018-12-16,DAL,@,IND,"L, 0-23",*,24,39,61.5,206,0,1,5.3,4.13,64.7,3,26,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
14,15.0,47.0,15.0,16.0,2018-12-23,DAL,,TAM,"W, 27-20",*,20,25,80.0,161,1,0,6.4,7.24,106.8,1,9,4,2,1,0.5,0,0,0,0,,,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
15,16.0,48.0,16.0,17.0,2018-12-30,DAL,@,NYG,"W, 36-35",*,27,44,61.4,387,4,0,8.8,10.61,120.2,4,19,4,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
16,,,,,,,,,10-6,,356,526,67.7,3885,22,8,7.4,7.54,96.9,56,347,75,305,6,4.1,1,0,0,0,0.0,0.0,12,6,0,7,0,0,1070,99.4,0,0.0,0,0.0
