,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,22,BAL,NFL,RB,15.0,1.0,134.0,805.0,9.0,38.0,56.7,72.0,6.0,53.7,8.9,24.0,18.0,120.0,6.7,0.0,4.0,37.5,19.0,1.2,8.0,75.0,5.0,152.0,6.1,925.0,9.0,2.0,7.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,24,BAL,NFL,RB,8.0,8.0,92.0,520.0,2.0,26.0,57.6,44.0,5.7,65.0,11.5,8.0,7.0,42.0,6.0,1.0,3.0,62.5,20.0,0.9,5.3,87.5,5.3,99.0,5.7,562.0,3.0,0.0,4.0,
3,2023,25,BAL,NFL,RB,1.0,1.0,8.0,22.0,1.0,1.0,50.0,4.0,2.8,22.0,8.0,3.0,2.0,15.0,7.5,0.0,0.0,66.7,10.0,2.0,15.0,66.7,5.0,10.0,3.7,37.0,1.0,0.0,0.0,
4,2024,26,LAC,NFL,RB,13.0,11.0,195.0,905.0,9.0,47.0,42.6,61.0,4.6,69.6,15.0,38.0,32.0,153.0,4.8,0.0,6.0,26.3,15.0,2.5,11.8,84.2,4.0,227.0,4.7,1058.0,9.0,0.0,7.0,AP CPoY-2
5,2025,27,DEN,NFL,RB,3.0,2.0,41.0,222.0,3.0,10.0,53.7,41.0,5.4,74.0,13.7,6.0,4.0,14.0,3.5,0.0,0.0,16.7,9.0,1.3,4.7,66.7,2.3,45.0,5.2,236.0,3.0,0.0,,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,40.0,23.0,470.0,2474.0,24.0,122.0,50.6,72.0,5.3,61.9,11.8,79.0,63.0,344.0,5.5,1.0,13.0,34.2,20.0,1.6,8.6,79.7,4.4,533.0,5.3,2818.0,25.0,2.0,18.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,200.0,1051.0,10.0,52.0,50.6,72.0,5.3,61.9,11.8,34.0,27.0,146.0,5.5,0.0,6.0,34.2,20.0,1.6,8.6,79.7,4.4,227.0,5.3,1198.0,11.0,1.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BAL (3 Yrs),BAL (3 Yrs),BAL (3 Yrs),BAL (3 Yrs),,24.0,10.0,234.0,1347.0,12.0,65.0,56.8,72.0,5.8,56.1,9.8,35.0,27.0,177.0,6.6,1.0,7.0,45.7,20.0,1.1,7.4,77.1,5.1,261.0,5.8,1524.0,13.0,2.0,11.0,
10,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,13.0,11.0,195.0,905.0,9.0,47.0,42.6,61.0,4.6,69.6,15.0,38.0,32.0,153.0,4.8,0.0,6.0,26.3,15.0,2.5,11.8,84.2,4.0,227.0,4.7,1058.0,9.0,0.0,7.0,
11,DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,3.0,2.0,41.0,222.0,3.0,10.0,53.7,41.0,5.4,74.0,13.7,6.0,4.0,14.0,3.5,0.0,0.0,16.7,9.0,1.3,4.7,66.7,2.3,45.0,5.2,236.0,3.0,0.0,,
