,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2017,25,LAR,NFL,WR,1.0,1.0,14.0,9.0,142.0,15.8,0.0,7.0,57.1,38.0,9.0,142.0,64.3,10.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.0,15.8,142.0,0.0,0.0,
1,2018,26,LAR,NFL,WR,3.0,3.0,28.0,17.0,172.0,10.1,0.0,8.0,53.6,18.0,5.7,57.3,60.7,6.1,4.0,11.0,0.0,0.0,50.0,9.0,2.8,3.7,1.3,21.0,8.7,183.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020,28,LAR,NFL,WR,2.0,2.0,18.0,12.0,96.0,8.0,1.0,8.0,61.1,20.0,6.0,48.0,66.7,5.3,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-1.5,0.5,13.0,7.2,93.0,1.0,0.0,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,31,HOU,NFL,WR,2.0,1.0,6.0,2.0,17.0,8.5,0.0,1.0,16.7,11.0,1.0,8.5,33.3,2.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,8.5,17.0,0.0,0.0,
6,2024,32,HOU,NFL,WR,2.0,0.0,4.0,2.0,22.0,11.0,0.0,2.0,50.0,13.0,1.0,11.0,50.0,5.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,11.0,22.0,0.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,10.0,7.0,70.0,42.0,449.0,10.7,1.0,26.0,52.9,38.0,4.2,44.9,60.0,6.4,5.0,8.0,0.0,0.0,40.0,9.0,1.6,0.8,0.5,47.0,9.7,457.0,1.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,12.0,119.0,71.0,763.0,10.7,2.0,44.0,52.9,38.0,4.2,44.9,60.0,6.4,9.0,14.0,0.0,0.0,40.0,9.0,1.6,0.8,0.5,80.0,9.7,777.0,2.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LAR (3 Yrs),LAR (3 Yrs),LAR (3 Yrs),LAR (3 Yrs),,6.0,6.0,60.0,38.0,410.0,10.8,1.0,23.0,56.7,38.0,6.3,68.3,63.3,6.8,5.0,8.0,0.0,0.0,40.0,9.0,1.6,1.3,0.8,43.0,9.7,418.0,1.0,0.0,
11,HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,4.0,1.0,10.0,4.0,39.0,9.8,0.0,3.0,30.0,13.0,1.0,9.8,40.0,3.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,9.8,39.0,0.0,0.0,
