,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2019-09-08,ATL,@,MIN,"L, 12-28",,2,1,13,13.0,0,50.0,6.5,1,-1,0,-1.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,17.6,1,1.9,11,52.4
1,2.0,17.0,2.0,2.0,2019-09-15,ATL,,PHI,"W, 24-20",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,13.6,0,0.0,13,54.2
2,3.0,18.0,3.0,3.0,2019-09-22,ATL,@,IND,"L, 24-27",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,15.0,0,0.0,18,81.8
3,4.0,19.0,4.0,4.0,2019-09-29,ATL,,TEN,"L, 10-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,17.7,0,0.0,20,87.0
4,5.0,20.0,5.0,5.0,2019-10-06,ATL,@,HOU,"L, 32-53",,2,1,12,12.0,0,50.0,6.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,21.6,0,0.0,31,88.6
5,6.0,21.0,6.0,6.0,2019-10-13,ATL,@,ARI,"L, 33-34",,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,13,19.4,0,0.0,26,81.3
6,7.0,22.0,7.0,7.0,2019-10-20,ATL,,LAR,"L, 10-37",,2,1,13,13.0,0,50.0,6.5,0,0,0,,1,-6,0,-6.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,11,20.0,1,1.3,30,96.8
7,8.0,23.0,8.0,8.0,2019-10-27,ATL,,SEA,"L, 20-27",,9,7,58,8.3,0,77.8,6.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,56.6,0,0.0,4,16.0
8,9.0,24.0,9.0,10.0,2019-11-10,ATL,@,NOR,"W, 26-9",,5,4,23,5.8,0,80.0,4.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,61.8,0,0.0,0,0.0
9,10.0,25.0,10.0,11.0,2019-11-17,ATL,@,CAR,"W, 29-3",,4,2,32,16.0,0,50.0,8.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,47.7,0,0.0,0,0.0
10,11.0,26.0,11.0,12.0,2019-11-24,ATL,,TAM,"L, 22-35",*,10,8,76,9.5,0,80.0,7.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,72.9,0,0.0,3,9.1
11,12.0,27.0,12.0,13.0,2019-11-28,ATL,,NOR,"L, 18-26",,9,5,52,10.4,1,55.6,5.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,68.1,0,0.0,9,30.0
12,13.0,28.0,13.0,14.0,2019-12-08,ATL,,CAR,"W, 40-20",*,4,2,17,8.5,0,50.0,4.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,50.7,0,0.0,0,0.0
13,14.0,29.0,14.0,15.0,2019-12-15,ATL,@,SFO,"W, 29-22",,6,5,27,5.4,0,83.3,4.5,1,6,0,6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,76.1,0,0.0,1,3.3
14,15.0,30.0,15.0,16.0,2019-12-22,ATL,,JAX,"W, 24-12",*,6,5,49,9.8,0,83.3,8.2,2,7,0,3.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,50.7,0,0.0,1,4.0
15,16.0,31.0,16.0,17.0,2019-12-29,ATL,@,TAM,"W, 28-22 (OT)",*,13,7,68,9.7,0,53.8,5.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,69.7,0,0.0,0,0.0
16,,,,,,,,,7-9,,74,49,446,9.1,1,66.2,6.0,4,12,0,3.0,1,-6,0,-6.0,0.0,2,2,0,0,0,0,1,1,0,0,0,0,516,44.2,2,0.2,167,38.0
