,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,88.0,1.0,1.0,2023-09-10,PIT,,SFO,"L, 7-30",*,3.0,5,5,0,1,5,0,0,0,0,1,0,0,2,1,0,0,0,0.0,48,70.6,5,19.2
1,2.0,89.0,2.0,2.0,2023-09-18,PIT,,CLE,"W, 26-22",*,1.0,4,2,2,2,4,0,0,0,0,1,0,0,0,1,16,1,0,0.0,70,80.5,3,9.7
2,3.0,90.0,3.0,3.0,2023-09-24,PIT,@,LVR,"W, 23-18",*,2.0,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59,81.9,1,3.4
3,4.0,91.0,4.0,4.0,2023-10-01,PIT,@,HOU,"L, 6-30",*,0.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62,87.3,3,12.0
4,5.0,92.0,5.0,5.0,2023-10-08,PIT,,BAL,"W, 17-10",*,2.0,2,2,0,2,2,0,0,0,0,2,0,0,0,1,18,0,0,0.0,60,85.7,1,4.0
5,6.0,93.0,6.0,7.0,2023-10-22,PIT,@,LAR,"W, 24-17",*,0.0,1,0,1,0,0,0,1,24,0,1,0,0,0,0,0,0,0,0.0,57,83.8,2,7.7
6,7.0,94.0,7.0,8.0,2023-10-29,PIT,,JAX,"L, 10-20",*,0.5,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,56,78.9,3,11.5
7,8.0,95.0,8.0,9.0,2023-11-02,PIT,,TEN,"W, 20-16",*,1.0,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69,93.2,1,4.2
8,9.0,96.0,9.0,10.0,2023-11-12,PIT,,GNB,"W, 23-19",*,1.0,8,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66,97.1,3,10.3
9,10.0,97.0,10.0,11.0,2023-11-19,PIT,@,CLE,"L, 10-13",*,1.0,6,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73,97.3,4,13.8
10,11.0,98.0,11.0,12.0,2023-11-26,PIT,@,CIN,"W, 16-10",*,2.0,5,5,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,39,90.7,0,0.0
11,12.0,99.0,12.0,13.0,2023-12-03,PIT,,ARI,"L, 10-24",*,0.5,6,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,54,79.4,1,4.2
12,13.0,100.0,13.0,14.0,2023-12-07,PIT,,NWE,"L, 18-21",*,0.0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52,91.2,4,14.3
13,14.0,101.0,14.0,15.0,2023-12-16,PIT,@,IND,"L, 13-30",*,2.0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47,70.1,2,7.7
14,15.0,102.0,15.0,16.0,2023-12-23,PIT,,CIN,"W, 34-11",*,1.0,3,2,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0.0,45,70.3,0,0.0
15,16.0,103.0,16.0,17.0,2023-12-31,PIT,@,SEA,"W, 30-23",*,0.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,89.8,3,10.7
16,17.0,104.0,17.0,18.0,2024-01-06,PIT,@,BAL,"W, 17-10",*,2.0,8,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30,52.6,0,0.0
17,,,,,,,,,10-7,,19.0,68,48,20,19,36,0,1,24,0,8,0,0,4,3,34,1,0,0.0,931,82.5,36,8.0
