,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2014-09-07,IND,@,DEN,"L, 24-31",*,11,5,41,8.2,0,45.5,3.7,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,66,89.2,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2014-09-15,IND,,PHI,"L, 27-30",*,11,6,65,10.8,0,54.5,5.9,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,68.1,0,0.0,0,0.0
2,3.0,34.0,3.0,3.0,2014-09-21,IND,@,JAX,"W, 44-17",*,6,5,80,16.0,0,83.3,13.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,34,45.3,0,0.0,0,0.0
3,4.0,35.0,4.0,4.0,2014-09-28,IND,,TEN,"W, 41-17",*,10,6,105,17.5,0,60.0,10.5,1,5,0,5.0,0,0,0,,0,0,0,0,0,0,0,0,0,57,65.5,0,0.0,2,6.3
4,5.0,36.0,5.0,5.0,2014-10-05,IND,,BAL,"W, 20-13",*,12,9,90,10.0,0,75.0,7.5,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,71,86.6,0,0.0,0,0.0
5,6.0,37.0,6.0,6.0,2014-10-09,IND,@,HOU,"W, 33-28",*,9,9,223,24.8,1,100.0,24.8,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,59,67.8,0,0.0,0,0.0
6,7.0,38.0,7.0,7.0,2014-10-19,IND,,CIN,"W, 27-0",*,9,7,107,15.3,0,77.8,11.9,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,63,79.7,0,0.0,0,0.0
7,8.0,39.0,8.0,8.0,2014-10-26,IND,@,PIT,"L, 34-51",*,10,6,155,25.8,1,60.0,15.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,65,98.5,0,0.0,0,0.0
8,9.0,40.0,9.0,9.0,2014-11-03,IND,@,NYG,"W, 40-24",*,6,3,71,23.7,1,50.0,11.8,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,0,0,0,57,76.0,0,0.0,2,5.0
9,10.0,41.0,10.0,11.0,2014-11-16,IND,,NWE,"L, 20-42",*,7,3,24,8.0,0,42.9,3.4,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
10,11.0,42.0,11.0,12.0,2014-11-23,IND,,JAX,"W, 23-3",*,5,4,122,30.5,1,80.0,24.4,1,15,0,15.0,0,0,0,,0,0,0,1,0,0,0,0,0,57,77.0,0,0.0,0,0.0
11,12.0,43.0,12.0,13.0,2014-11-30,IND,,WAS,"W, 49-27",*,5,5,62,12.4,1,100.0,12.4,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,84.3,0,0.0,0,0.0
12,13.0,44.0,13.0,14.0,2014-12-07,IND,@,CLE,"W, 25-24",*,19,10,150,15.0,2,52.6,7.9,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,75,92.6,0,0.0,0,0.0
13,14.0,45.0,14.0,15.0,2014-12-14,IND,,HOU,"W, 17-10",*,8,4,50,12.5,0,50.0,6.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,85.3,0,0.0,0,0.0
14,14.0,,15.0,16.0,2014-12-21,IND,@,DAL,"L, 7-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,46.0,16.0,17.0,2014-12-28,IND,@,TEN,"W, 27-10",*,3,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,23,34.8,0,0.0,0,0.0
16,,,,,,,,,11-4,,131,82,1345,16.4,7,62.6,10.3,2,20,0,10.0,1,0,0,0.0,0,0,0,3,1,0,0,0,0,831,76.0,0,0.0,4,0.9
